counterparty_id,counterparty_name,aliases,country,counterparty_type,baseline_risk,synthetic_sanctions_flag
220,Synthetic Merchant 0220 Services,,XZ,BUSINESS,MEDIUM,False
224,Synthetic Merchant 0224 Services,,SG,BUSINESS,MEDIUM,False
226,Synthetic Merchant 0226 Services,,US,BUSINESS,MEDIUM,False
231,Synthetic Merchant 0231 Services,,US,BUSINESS,MEDIUM,False
235,Synthetic Merchant 0235 Services,,XZ,BUSINESS,LOW,False
236,Synthetic Merchant 0236 Services,,XZ,BUSINESS,MEDIUM,False
237,Synthetic Merchant 0237 Services,,GB,BUSINESS,MEDIUM,False
239,Synthetic Merchant 0239 Services,,US,BUSINESS,LOW,False
240,Synthetic Merchant 0240 Services,,SG,BUSINESS,MEDIUM,False
241,Synthetic Merchant 0241 Services,,US,BUSINESS,LOW,False
244,Synthetic Merchant 0244 Services,,US,BUSINESS,MEDIUM,False
245,Synthetic Merchant 0245 Services,,IN,BUSINESS,LOW,False
250,Synthetic Merchant 0250 Services,,IN,BUSINESS,MEDIUM,False
253,Synthetic Merchant 0253 Services,,US,BUSINESS,MEDIUM,False
256,Synthetic Merchant 0256 Services,,QZ,BUSINESS,LOW,False
268,Synthetic Merchant 0268 Services,,IN,BUSINESS,MEDIUM,False
273,Synthetic Merchant 0273 Services,,DE,BUSINESS,LOW,False
275,Synthetic Merchant 0275 Services,,XZ,BUSINESS,LOW,False
285,Synthetic Merchant 0285 Services,,QZ,BUSINESS,LOW,False
289,Synthetic Merchant 0289 Services,,US,BUSINESS,LOW,False
295,Synthetic Merchant 0295 Services,,XZ,BUSINESS,MEDIUM,False
299,Synthetic Merchant 0299 Services,,DE,BUSINESS,LOW,False
300,Synthetic Merchant 0300 Services,,DE,BUSINESS,LOW,False
306,Synthetic Merchant 0306 Services,,DE,BUSINESS,LOW,False
309,Synthetic Merchant 0309 Services,,SG,BUSINESS,MEDIUM,False
315,Synthetic Merchant 0315 Services,,XZ,BUSINESS,LOW,False
317,Synthetic Merchant 0317 Services,,GB,BUSINESS,MEDIUM,False
336,Synthetic Merchant 0336 Services,,SG,BUSINESS,LOW,False
337,Synthetic Merchant 0337 Services,,IN,BUSINESS,LOW,False
338,Synthetic Merchant 0338 Services,,US,BUSINESS,MEDIUM,False
339,Synthetic Merchant 0339 Services,,SG,BUSINESS,LOW,False
346,Synthetic Merchant 0346 Services,,IN,BUSINESS,MEDIUM,False
353,Synthetic Merchant 0353 Services,,DE,BUSINESS,MEDIUM,False
357,Synthetic Merchant 0357 Services,,US,BUSINESS,MEDIUM,False
371,Synthetic Merchant 0371 Services,,US,BUSINESS,MEDIUM,False
372,Synthetic Merchant 0372 Services,,GB,BUSINESS,MEDIUM,False
381,Synthetic Merchant 0381 Services,,SG,BUSINESS,LOW,False
382,Synthetic Merchant 0382 Services,,US,BUSINESS,MEDIUM,False
383,Synthetic Merchant 0383 Services,,GB,BUSINESS,LOW,False
387,Synthetic Merchant 0387 Services,,US,BUSINESS,MEDIUM,False
389,Synthetic Merchant 0389 Services,,IN,BUSINESS,MEDIUM,False
390,Synthetic Merchant 0390 Services,,IN,BUSINESS,LOW,False
392,Synthetic Merchant 0392 Services,,DE,BUSINESS,LOW,False
405,Synthetic Merchant 0405 Services,,SG,BUSINESS,LOW,False
412,Synthetic Merchant 0412 Services,,GB,BUSINESS,MEDIUM,False
418,Synthetic Merchant 0418 Services,,US,BUSINESS,LOW,False
422,Synthetic Merchant 0422 Services,,DE,BUSINESS,MEDIUM,False
429,Synthetic Merchant 0429 Services,,DE,BUSINESS,MEDIUM,False
432,Synthetic Merchant 0432 Services,,XZ,BUSINESS,MEDIUM,False
436,Synthetic Merchant 0436 Services,,US,BUSINESS,LOW,False
437,Synthetic Merchant 0437 Services,,QZ,BUSINESS,LOW,False
440,Synthetic Merchant 0440 Services,,US,BUSINESS,MEDIUM,False
442,Synthetic Merchant 0442 Services,,US,BUSINESS,MEDIUM,False
452,Synthetic Merchant 0452 Services,,DE,BUSINESS,LOW,False
454,Synthetic Merchant 0454 Services,,XZ,BUSINESS,LOW,False
455,Synthetic Merchant 0455 Services,,DE,BUSINESS,LOW,False
458,Synthetic Merchant 0458 Services,,SG,BUSINESS,MEDIUM,False
459,Synthetic Merchant 0459 Services,,SG,BUSINESS,LOW,False
461,Synthetic Merchant 0461 Services,,DE,BUSINESS,LOW,False
462,Synthetic Merchant 0462 Services,,SG,BUSINESS,MEDIUM,False
464,Synthetic Merchant 0464 Services,,SG,BUSINESS,LOW,False
467,Synthetic Merchant 0467 Services,,GB,BUSINESS,LOW,False
469,Synthetic Merchant 0469 Services,,QZ,BUSINESS,LOW,False
474,Synthetic Merchant 0474 Services,,SG,BUSINESS,LOW,False
476,Synthetic Merchant 0476 Services,,QZ,BUSINESS,LOW,False
479,Synthetic Merchant 0479 Services,,XZ,BUSINESS,MEDIUM,False
481,Synthetic Merchant 0481 Services,,SG,BUSINESS,LOW,False
485,Synthetic Merchant 0485 Services,,DE,BUSINESS,LOW,False
487,Synthetic Merchant 0487 Services,,XZ,BUSINESS,MEDIUM,False
489,Synthetic Merchant 0489 Services,,QZ,BUSINESS,LOW,False
495,Synthetic Merchant 0495 Services,,SG,BUSINESS,LOW,False
510,Synthetic Merchant 0510 Services,,US,BUSINESS,MEDIUM,False
513,Synthetic Merchant 0513 Services,,SG,BUSINESS,LOW,False
514,Synthetic Merchant 0514 Services,,XZ,BUSINESS,LOW,False
530,Synthetic Merchant 0530 Services,,QZ,BUSINESS,MEDIUM,False
532,Synthetic Merchant 0532 Services,,IN,BUSINESS,LOW,False
542,Synthetic Merchant 0542 Services,,DE,BUSINESS,MEDIUM,False
543,Synthetic Merchant 0543 Services,,IN,BUSINESS,MEDIUM,False
548,Synthetic Merchant 0548 Services,,US,BUSINESS,MEDIUM,False
554,Synthetic Merchant 0554 Services,,SG,BUSINESS,LOW,False
557,Synthetic Merchant 0557 Services,,DE,BUSINESS,LOW,False
558,Synthetic Merchant 0558 Services,,QZ,BUSINESS,LOW,False
565,Synthetic Merchant 0565 Services,,QZ,BUSINESS,MEDIUM,False
571,Synthetic Merchant 0571 Services,,IN,BUSINESS,LOW,False
572,Synthetic Merchant 0572 Services,,US,BUSINESS,LOW,False
579,Synthetic Merchant 0579 Services,,US,BUSINESS,MEDIUM,False
586,Synthetic Merchant 0586 Services,,QZ,BUSINESS,MEDIUM,False
590,Synthetic Merchant 0590 Services,,US,BUSINESS,MEDIUM,False
593,Synthetic Merchant 0593 Services,,QZ,BUSINESS,MEDIUM,False
596,Synthetic Merchant 0596 Services,,US,BUSINESS,MEDIUM,False
