transaction_id,customer_id,counterparty_id,timestamp,amount,currency,origin_country,destination_country,payment_channel,payment_type,payment_category,device_id,originating_bank,network,beneficiary_bank,status,injected_pattern,screening_truth,investigation_label
SYN-TX-0012488,133,389,2026-01-12 05:06:23+00:00,8201.66,GBP,US,IN,API,CARD,RETAIL,SYN-DEVICE-133,SYNTHETIC ORIGIN BANK,SIMULATED NETWORK,SYNTHETIC RECEIVING BANK,SETTLED,deviation,0,1
SYN-TX-0012833,1235,432,2026-01-12 12:19:08+00:00,3866.12,GBP,SG,XZ,API,WIRE,REMITTANCE,SYN-DEVICE-1235,SYNTHETIC ORIGIN BANK,SIMULATED NETWORK,SYNTHETIC RECEIVING BANK,SETTLED,new_beneficiary,0,1
SYN-TX-0012837,600,462,2026-01-12 12:22:43+00:00,9666.19,GBP,SG,SG,WEB,WIRE,SERVICES,SYN-DEVICE-600,SYNTHETIC ORIGIN BANK,SIMULATED NETWORK,SYNTHETIC RECEIVING BANK,SETTLED,threshold,0,1
SYN-TX-0014802,413,548,2026-01-14 07:05:20+00:00,11074.88,GBP,DE,US,WEB,TRANSFER,RETAIL,SYN-DEVICE-413,SYNTHETIC ORIGIN BANK,SIMULATED NETWORK,SYNTHETIC RECEIVING BANK,SETTLED,deviation,0,0
SYN-TX-0014930,1290,558,2026-01-14 09:41:26+00:00,1627.92,GBP,SG,XZ,WEB,WIRE,SERVICES,SYN-DEVICE-1290,SYNTHETIC ORIGIN BANK,SIMULATED NETWORK,SYNTHETIC RECEIVING BANK,SETTLED,geography,0,1
SYN-TX-0015756,667,132,2026-01-15 02:58:11+00:00,805.13,GBP,GB,DE,WEB,WIRE,REMITTANCE,SYN-DEVICE-667,SYNTHETIC ORIGIN BANK,SIMULATED NETWORK,SYNTHETIC RECEIVING BANK,PENDING,new_beneficiary,0,1
SYN-TX-0015806,18,121,2026-01-15 03:54:55+00:00,822.47,GBP,GB,GB,MOBILE,CARD,SERVICES,SYN-DEVICE-18,SYNTHETIC ORIGIN BANK,SIMULATED NETWORK,SYNTHETIC RECEIVING BANK,PENDING,deviation,0,1
SYN-TX-0016593,1237,315,2026-01-15 20:22:47+00:00,639.58,GBP,SG,XZ,BRANCH,WIRE,RETAIL,SYN-DEVICE-1237,SYNTHETIC ORIGIN BANK,SIMULATED NETWORK,SYNTHETIC RECEIVING BANK,SETTLED,velocity,0,1
SYN-TX-0017471,1768,353,2026-01-16 01:00:00+00:00,227.91,GBP,US,DE,WEB,TRANSFER,REMITTANCE,SYN-DEVICE-1768,SYNTHETIC ORIGIN BANK,SIMULATED NETWORK,SYNTHETIC RECEIVING BANK,SETTLED,night,0,1
SYN-TX-0017488,838,275,2026-01-16 15:46:39+00:00,907.43,GBP,SG,XZ,BRANCH,TRANSFER,SERVICES,SYN-DEVICE-838,SYNTHETIC ORIGIN BANK,SIMULATED NETWORK,SYNTHETIC RECEIVING BANK,SETTLED,deviation,0,1
SYN-TX-0017968,265,206,2026-01-17 02:32:15+00:00,9505.35,GBP,SG,US,API,WIRE,SERVICES,SYN-DEVICE-265,SYNTHETIC ORIGIN BANK,SIMULATED NETWORK,SYNTHETIC RECEIVING BANK,SETTLED,threshold,0,1
SYN-TX-0018803,591,147,2026-01-17 19:53:41+00:00,3273.58,GBP,GB,GB,WEB,CARD,SERVICES,SYN-DEVICE-591,SYNTHETIC ORIGIN BANK,SIMULATED NETWORK,SYNTHETIC RECEIVING BANK,SETTLED,velocity,0,1
SYN-TX-0019594,314,513,2026-01-18 13:12:33+00:00,8060.58,GBP,DE,SG,API,CARD,RETAIL,SYN-DEVICE-314,SYNTHETIC ORIGIN BANK,SIMULATED NETWORK,SYNTHETIC RECEIVING BANK,SETTLED,change,0,1
SYN-TX-0019968,1545,73,2026-01-18 21:59:13+00:00,5972.93,GBP,SG,DE,WEB,TRANSFER,SERVICES,SYN-DEVICE-1545,SYNTHETIC ORIGIN BANK,SIMULATED NETWORK,SYNTHETIC RECEIVING BANK,SETTLED,new_beneficiary,0,1
SYN-TX-0020145,294,140,2026-01-19 01:17:01+00:00,143.09,GBP,SG,QZ,WEB,TRANSFER,RETAIL,SYN-DEVICE-294,SYNTHETIC ORIGIN BANK,SIMULATED NETWORK,SYNTHETIC RECEIVING BANK,SETTLED,ordinary,0,0
SYN-TX-0021470,551,387,2026-01-20 06:44:49+00:00,3691.43,GBP,GB,US,WEB,WIRE,SERVICES,SYN-DEVICE-551,SYNTHETIC ORIGIN BANK,SIMULATED NETWORK,SYNTHETIC RECEIVING BANK,PENDING,deviation,0,1
SYN-TX-0021476,956,58,2026-01-20 01:00:00+00:00,824.69,GBP,GB,QZ,WEB,WIRE,RETAIL,SYN-DEVICE-956,SYNTHETIC ORIGIN BANK,SIMULATED NETWORK,SYNTHETIC RECEIVING BANK,SETTLED,night,0,0
SYN-TX-0022176,1067,554,2026-01-20 21:23:01+00:00,2926.59,GBP,GB,SG,BRANCH,WIRE,RETAIL,SYN-DEVICE-1067,SYNTHETIC ORIGIN BANK,SIMULATED NETWORK,SYNTHETIC RECEIVING BANK,SETTLED,new_beneficiary,0,0
SYN-TX-0022623,1977,558,2026-01-21 06:14:01+00:00,4478.18,GBP,GB,QZ,MOBILE,CARD,RETAIL,SYN-DEVICE-1977,SYNTHETIC ORIGIN BANK,SIMULATED NETWORK,SYNTHETIC RECEIVING BANK,SETTLED,change,0,0
SYN-TX-0022945,1933,151,2026-01-21 13:14:59+00:00,8671.56,GBP,IN,QZ,WEB,TRANSFER,REMITTANCE,SYN-DEVICE-1933,SYNTHETIC ORIGIN BANK,SIMULATED NETWORK,SYNTHETIC RECEIVING BANK,SETTLED,change,0,1
SYN-TX-0023781,167,80,2026-01-22 07:20:12+00:00,9572.87,GBP,GB,US,WEB,TRANSFER,REMITTANCE,SYN-DEVICE-167,SYNTHETIC ORIGIN BANK,SIMULATED NETWORK,SYNTHETIC RECEIVING BANK,SETTLED,change,0,1
SYN-TX-0023986,1323,440,2026-01-22 01:00:00+00:00,3846.6,GBP,IN,US,API,TRANSFER,REMITTANCE,SYN-DEVICE-1323,SYNTHETIC ORIGIN BANK,SIMULATED NETWORK,SYNTHETIC RECEIVING BANK,SETTLED,night,0,0
SYN-TX-0024319,1368,452,2026-01-22 01:00:00+00:00,395.53,GBP,DE,DE,MOBILE,TRANSFER,SERVICES,SYN-DEVICE-1368,SYNTHETIC ORIGIN BANK,SIMULATED NETWORK,SYNTHETIC RECEIVING BANK,SETTLED,night,0,0
SYN-TX-0025064,1941,337,2026-01-23 10:45:14+00:00,9572.97,GBP,US,IN,API,CARD,SERVICES,SYN-DEVICE-1941,SYNTHETIC ORIGIN BANK,SIMULATED NETWORK,SYNTHETIC RECEIVING BANK,SETTLED,threshold,0,1
SYN-TX-0025639,1328,181,2026-01-23 23:14:11+00:00,309.49,GBP,GB,DE,API,WIRE,REMITTANCE,SYN-DEVICE-1328,SYNTHETIC ORIGIN BANK,SIMULATED NETWORK,SYNTHETIC RECEIVING BANK,SETTLED,velocity,0,0
SYN-TX-0026015,69,418,2026-01-24 07:48:40+00:00,1462.32,GBP,GB,US,API,CARD,RETAIL,SYN-DEVICE-69,SYNTHETIC ORIGIN BANK,SIMULATED NETWORK,SYNTHETIC RECEIVING BANK,SETTLED,change,0,0
SYN-TX-0026521,269,28,2026-01-24 19:02:01+00:00,3477.21,GBP,US,IN,MOBILE,WIRE,SERVICES,SYN-DEVICE-269,SYNTHETIC ORIGIN BANK,SIMULATED NETWORK,SYNTHETIC RECEIVING BANK,SETTLED,change,1,1
SYN-TX-0027279,1182,237,2026-01-25 11:24:22+00:00,2811.89,GBP,DE,GB,API,WIRE,SERVICES,SYN-DEVICE-1182,SYNTHETIC ORIGIN BANK,SIMULATED NETWORK,SYNTHETIC RECEIVING BANK,SETTLED,change,0,1
SYN-TX-0027792,228,532,2026-01-25 22:11:17+00:00,189.59,GBP,IN,XZ,BRANCH,CARD,REMITTANCE,SYN-DEVICE-228,SYNTHETIC ORIGIN BANK,SIMULATED NETWORK,SYNTHETIC RECEIVING BANK,SETTLED,geography,0,0
SYN-TX-0028335,1177,50,2026-01-26 10:00:55+00:00,7962.32,GBP,US,DE,API,TRANSFER,REMITTANCE,SYN-DEVICE-1177,SYNTHETIC ORIGIN BANK,SIMULATED NETWORK,SYNTHETIC RECEIVING BANK,SETTLED,change,0,1
SYN-TX-0028792,1559,240,2026-01-26 19:46:34+00:00,1710.39,GBP,GB,SG,BRANCH,CARD,REMITTANCE,SYN-DEVICE-1559,SYNTHETIC ORIGIN BANK,SIMULATED NETWORK,SYNTHETIC RECEIVING BANK,SETTLED,velocity,0,1
SYN-TX-0029846,1892,405,2026-01-27 19:23:17+00:00,9777.16,GBP,GB,SG,MOBILE,WIRE,RETAIL,SYN-DEVICE-1892,SYNTHETIC ORIGIN BANK,SIMULATED NETWORK,SYNTHETIC RECEIVING BANK,SETTLED,deviation,0,1
SYN-TX-0029874,198,135,2026-01-27 19:58:07+00:00,9356.44,GBP,SG,QZ,MOBILE,TRANSFER,SERVICES,SYN-DEVICE-198,SYNTHETIC ORIGIN BANK,SIMULATED NETWORK,SYNTHETIC RECEIVING BANK,SETTLED,deviation,0,1
SYN-TX-0029919,674,474,2026-01-27 20:58:55+00:00,1643.66,GBP,SG,SG,WEB,WIRE,REMITTANCE,SYN-DEVICE-674,SYNTHETIC ORIGIN BANK,SIMULATED NETWORK,SYNTHETIC RECEIVING BANK,SETTLED,velocity,0,1
SYN-TX-0029970,1894,339,2026-01-27 22:07:22+00:00,1347.14,GBP,US,SG,BRANCH,WIRE,SERVICES,SYN-DEVICE-1894,SYNTHETIC ORIGIN BANK,SIMULATED NETWORK,SYNTHETIC RECEIVING BANK,SETTLED,change,0,1
SYN-TX-0030082,169,382,2026-01-28 01:00:00+00:00,72.82,GBP,DE,US,API,WIRE,SERVICES,SYN-DEVICE-169,SYNTHETIC ORIGIN BANK,SIMULATED NETWORK,SYNTHETIC RECEIVING BANK,SETTLED,night,0,1
SYN-TX-0031162,1491,300,2026-01-28 23:59:09+00:00,1002.35,GBP,DE,DE,BRANCH,CARD,REMITTANCE,SYN-DEVICE-1491,SYNTHETIC ORIGIN BANK,SIMULATED NETWORK,SYNTHETIC RECEIVING BANK,SETTLED,change,0,1
SYN-TX-0031714,1079,72,2026-01-29 12:19:57+00:00,431.38,GBP,US,DE,MOBILE,CARD,REMITTANCE,SYN-DEVICE-1079,SYNTHETIC ORIGIN BANK,SIMULATED NETWORK,SYNTHETIC RECEIVING BANK,SETTLED,velocity,0,1
SYN-TX-0032961,1251,204,2026-01-30 15:44:49+00:00,693.05,GBP,US,QZ,BRANCH,WIRE,RETAIL,SYN-DEVICE-1251,SYNTHETIC ORIGIN BANK,SIMULATED NETWORK,SYNTHETIC RECEIVING BANK,SETTLED,velocity,0,1
SYN-TX-0033706,415,211,2026-01-31 01:00:00+00:00,1149.87,GBP,US,SG,MOBILE,CARD,REMITTANCE,SYN-DEVICE-415,SYNTHETIC ORIGIN BANK,SIMULATED NETWORK,SYNTHETIC RECEIVING BANK,SETTLED,night,0,1
SYN-TX-0036162,804,241,2026-02-02 13:49:32+00:00,439.75,GBP,DE,XZ,WEB,WIRE,REMITTANCE,SYN-DEVICE-804,SYNTHETIC ORIGIN BANK,SIMULATED NETWORK,SYNTHETIC RECEIVING BANK,SETTLED,geography,0,0
SYN-TX-0036482,1556,469,2026-02-02 21:02:03+00:00,363.8,GBP,GB,QZ,WEB,CARD,REMITTANCE,SYN-DEVICE-1556,SYNTHETIC ORIGIN BANK,SIMULATED NETWORK,SYNTHETIC RECEIVING BANK,SETTLED,velocity,0,0
SYN-TX-0038516,11,273,2026-02-04 17:01:04+00:00,5296.21,GBP,SG,DE,API,WIRE,REMITTANCE,SYN-DEVICE-11,SYNTHETIC ORIGIN BANK,SIMULATED NETWORK,SYNTHETIC RECEIVING BANK,SETTLED,change,0,1
SYN-TX-0038829,334,442,2026-02-04 23:51:01+00:00,419.45,GBP,SG,US,MOBILE,TRANSFER,SERVICES,SYN-DEVICE-334,SYNTHETIC ORIGIN BANK,SIMULATED NETWORK,SYNTHETIC RECEIVING BANK,SETTLED,new_beneficiary,0,1
SYN-TX-0039039,1509,85,2026-02-05 04:37:39+00:00,15496.52,GBP,SG,QZ,MOBILE,CARD,RETAIL,SYN-DEVICE-1509,SYNTHETIC ORIGIN BANK,SIMULATED NETWORK,SYNTHETIC RECEIVING BANK,SETTLED,deviation,0,1
SYN-TX-0039409,897,336,2026-02-05 12:30:03+00:00,943.85,GBP,US,XZ,WEB,WIRE,RETAIL,SYN-DEVICE-897,SYNTHETIC ORIGIN BANK,SIMULATED NETWORK,SYNTHETIC RECEIVING BANK,SETTLED,geography,0,0
SYN-TX-0039704,850,125,2026-02-05 18:45:01+00:00,8793.6,GBP,SG,SG,BRANCH,TRANSFER,RETAIL,SYN-DEVICE-850,SYNTHETIC ORIGIN BANK,SIMULATED NETWORK,SYNTHETIC RECEIVING BANK,SETTLED,velocity,0,1
SYN-TX-0039756,62,593,2026-02-05 19:38:31+00:00,13031.13,GBP,DE,QZ,MOBILE,CARD,SERVICES,SYN-DEVICE-62,SYNTHETIC ORIGIN BANK,SIMULATED NETWORK,SYNTHETIC RECEIVING BANK,SETTLED,change,0,1
SYN-TX-0039876,1056,268,2026-02-05 22:05:31+00:00,421.32,GBP,SG,XZ,BRANCH,WIRE,RETAIL,SYN-DEVICE-1056,SYNTHETIC ORIGIN BANK,SIMULATED NETWORK,SYNTHETIC RECEIVING BANK,SETTLED,geography,0,1
SYN-TX-0041377,1216,383,2026-02-07 06:43:36+00:00,996.14,GBP,DE,GB,BRANCH,WIRE,RETAIL,SYN-DEVICE-1216,SYNTHETIC ORIGIN BANK,SIMULATED NETWORK,SYNTHETIC RECEIVING BANK,SETTLED,ordinary,0,0
SYN-TX-0041573,631,147,2026-02-07 10:52:55+00:00,551.07,GBP,IN,GB,BRANCH,WIRE,REMITTANCE,SYN-DEVICE-631,SYNTHETIC ORIGIN BANK,SIMULATED NETWORK,SYNTHETIC RECEIVING BANK,SETTLED,ordinary,0,0
SYN-TX-0042810,1864,381,2026-02-08 12:40:41+00:00,321.49,GBP,SG,XZ,WEB,WIRE,SERVICES,SYN-DEVICE-1864,SYNTHETIC ORIGIN BANK,SIMULATED NETWORK,SYNTHETIC RECEIVING BANK,SETTLED,geography,0,0
SYN-TX-0043618,588,190,2026-02-09 05:29:34+00:00,342.87,GBP,DE,IN,WEB,WIRE,SERVICES,SYN-DEVICE-588,SYNTHETIC ORIGIN BANK,SIMULATED NETWORK,SYNTHETIC RECEIVING BANK,SETTLED,velocity,0,0
SYN-TX-0044318,1136,231,2026-02-09 21:01:49+00:00,1664.12,GBP,US,US,API,CARD,REMITTANCE,SYN-DEVICE-1136,SYNTHETIC ORIGIN BANK,SIMULATED NETWORK,SYNTHETIC RECEIVING BANK,FAILED,ordinary,0,0
SYN-TX-0044377,303,489,2026-02-09 01:00:00+00:00,839.74,GBP,GB,QZ,BRANCH,TRANSFER,SERVICES,SYN-DEVICE-303,SYNTHETIC ORIGIN BANK,SIMULATED NETWORK,SYNTHETIC RECEIVING BANK,SETTLED,night,0,1
SYN-TX-0045317,752,105,2026-02-10 18:04:41+00:00,986.56,GBP,SG,XZ,MOBILE,TRANSFER,SERVICES,SYN-DEVICE-752,SYNTHETIC ORIGIN BANK,SIMULATED NETWORK,SYNTHETIC RECEIVING BANK,SETTLED,geography,0,1
SYN-TX-0045573,909,299,2026-02-10 01:00:00+00:00,1654.61,GBP,DE,DE,MOBILE,WIRE,SERVICES,SYN-DEVICE-909,SYNTHETIC ORIGIN BANK,SIMULATED NETWORK,SYNTHETIC RECEIVING BANK,PENDING,night,0,1
SYN-TX-0046019,22,495,2026-02-11 09:38:02+00:00,277.69,GBP,US,SG,WEB,WIRE,SERVICES,SYN-DEVICE-22,SYNTHETIC ORIGIN BANK,SIMULATED NETWORK,SYNTHETIC RECEIVING BANK,SETTLED,velocity,0,1
SYN-TX-0046336,233,436,2026-02-11 17:25:10+00:00,9550.12,GBP,IN,US,BRANCH,TRANSFER,SERVICES,SYN-DEVICE-233,SYNTHETIC ORIGIN BANK,SIMULATED NETWORK,SYNTHETIC RECEIVING BANK,SETTLED,threshold,0,1
SYN-TX-0046585,994,39,2026-02-11 22:27:14+00:00,8529.84,GBP,DE,XZ,BRANCH,CARD,RETAIL,SYN-DEVICE-994,SYNTHETIC ORIGIN BANK,SIMULATED NETWORK,SYNTHETIC RECEIVING BANK,PENDING,new_beneficiary,1,1
SYN-TX-0046705,1890,226,2026-02-12 01:18:07+00:00,3737.24,GBP,DE,US,WEB,WIRE,REMITTANCE,SYN-DEVICE-1890,SYNTHETIC ORIGIN BANK,SIMULATED NETWORK,SYNTHETIC RECEIVING BANK,SETTLED,new_beneficiary,0,1
SYN-TX-0050054,1616,586,2026-02-14 01:00:00+00:00,485.44,GBP,DE,QZ,MOBILE,CARD,RETAIL,SYN-DEVICE-1616,SYNTHETIC ORIGIN BANK,SIMULATED NETWORK,SYNTHETIC RECEIVING BANK,SETTLED,night,0,1
SYN-TX-0050318,432,387,2026-02-15 01:00:00+00:00,491.82,GBP,SG,US,WEB,CARD,SERVICES,SYN-DEVICE-432,SYNTHETIC ORIGIN BANK,SIMULATED NETWORK,SYNTHETIC RECEIVING BANK,SETTLED,night,0,1
SYN-TX-0053448,1932,454,2026-02-18 02:17:37+00:00,1764.64,GBP,IN,XZ,MOBILE,WIRE,REMITTANCE,SYN-DEVICE-1932,SYNTHETIC ORIGIN BANK,SIMULATED NETWORK,SYNTHETIC RECEIVING BANK,SETTLED,change,0,1
SYN-TX-0054879,1883,571,2026-02-19 10:01:30+00:00,6313.37,GBP,IN,IN,BRANCH,TRANSFER,REMITTANCE,SYN-DEVICE-1883,SYNTHETIC ORIGIN BANK,SIMULATED NETWORK,SYNTHETIC RECEIVING BANK,SETTLED,new_beneficiary,0,0
SYN-TX-0055995,1891,418,2026-02-20 10:27:01+00:00,1549.75,GBP,US,US,WEB,WIRE,REMITTANCE,SYN-DEVICE-1891,SYNTHETIC ORIGIN BANK,SIMULATED NETWORK,SYNTHETIC RECEIVING BANK,SETTLED,new_beneficiary,0,1
SYN-TX-0056247,729,48,2026-02-20 16:09:48+00:00,9716.93,GBP,DE,IN,MOBILE,CARD,REMITTANCE,SYN-DEVICE-729,SYNTHETIC ORIGIN BANK,SIMULATED NETWORK,SYNTHETIC RECEIVING BANK,PENDING,threshold,1,1
SYN-TX-0056516,1448,346,2026-02-20 21:44:42+00:00,2218.78,GBP,US,IN,WEB,WIRE,RETAIL,SYN-DEVICE-1448,SYNTHETIC ORIGIN BANK,SIMULATED NETWORK,SYNTHETIC RECEIVING BANK,SETTLED,deviation,0,0
SYN-TX-0056590,1804,4,2026-02-20 23:05:08+00:00,9710.2,GBP,IN,SG,API,WIRE,RETAIL,SYN-DEVICE-1804,SYNTHETIC ORIGIN BANK,SIMULATED NETWORK,SYNTHETIC RECEIVING BANK,SETTLED,threshold,1,1
SYN-TX-0057685,1511,70,2026-02-21 01:00:00+00:00,609.08,GBP,DE,XZ,WEB,WIRE,RETAIL,SYN-DEVICE-1511,SYNTHETIC ORIGIN BANK,SIMULATED NETWORK,SYNTHETIC RECEIVING BANK,SETTLED,night,0,1
SYN-TX-0058149,1551,579,2026-02-22 08:09:03+00:00,9563.7,GBP,IN,US,API,WIRE,SERVICES,SYN-DEVICE-1551,SYNTHETIC ORIGIN BANK,SIMULATED NETWORK,SYNTHETIC RECEIVING BANK,SETTLED,threshold,0,1
SYN-TX-0058175,473,12,2026-02-22 08:34:18+00:00,500.08,GBP,GB,XZ,WEB,WIRE,SERVICES,SYN-DEVICE-473,SYNTHETIC ORIGIN BANK,SIMULATED NETWORK,SYNTHETIC RECEIVING BANK,SETTLED,velocity,1,1
SYN-TX-0058279,1647,239,2026-02-22 01:00:00+00:00,464.21,GBP,SG,US,WEB,CARD,SERVICES,SYN-DEVICE-1647,SYNTHETIC ORIGIN BANK,SIMULATED NETWORK,SYNTHETIC RECEIVING BANK,SETTLED,night,0,1
SYN-TX-0060095,1458,220,2026-02-24 01:46:00+00:00,7722.8,GBP,US,XZ,WEB,WIRE,RETAIL,SYN-DEVICE-1458,SYNTHETIC ORIGIN BANK,SIMULATED NETWORK,SYNTHETIC RECEIVING BANK,SETTLED,new_beneficiary,0,1
SYN-TX-0061366,1043,295,2026-02-25 05:24:29+00:00,9747.96,GBP,US,XZ,WEB,CARD,REMITTANCE,SYN-DEVICE-1043,SYNTHETIC ORIGIN BANK,SIMULATED NETWORK,SYNTHETIC RECEIVING BANK,FAILED,threshold,0,1
SYN-TX-0062364,1917,557,2026-02-26 02:39:05+00:00,3099.0,GBP,IN,DE,API,TRANSFER,RETAIL,SYN-DEVICE-1917,SYNTHETIC ORIGIN BANK,SIMULATED NETWORK,SYNTHETIC RECEIVING BANK,SETTLED,deviation,0,0
SYN-TX-0062419,323,70,2026-02-26 04:03:15+00:00,9543.31,GBP,IN,XZ,MOBILE,CARD,SERVICES,SYN-DEVICE-323,SYNTHETIC ORIGIN BANK,SIMULATED NETWORK,SYNTHETIC RECEIVING BANK,SETTLED,threshold,0,0
SYN-TX-0062609,127,23,2026-02-26 08:32:58+00:00,346.74,GBP,GB,XZ,BRANCH,WIRE,SERVICES,SYN-DEVICE-127,SYNTHETIC ORIGIN BANK,SIMULATED NETWORK,SYNTHETIC RECEIVING BANK,SETTLED,geography,1,1
SYN-TX-0062981,1088,250,2026-02-26 16:48:24+00:00,2293.57,GBP,GB,XZ,BRANCH,WIRE,SERVICES,SYN-DEVICE-1088,SYNTHETIC ORIGIN BANK,SIMULATED NETWORK,SYNTHETIC RECEIVING BANK,SETTLED,geography,0,0
SYN-TX-0063824,220,151,2026-02-27 11:08:41+00:00,11730.44,GBP,GB,QZ,API,TRANSFER,REMITTANCE,SYN-DEVICE-220,SYNTHETIC ORIGIN BANK,SIMULATED NETWORK,SYNTHETIC RECEIVING BANK,SETTLED,new_beneficiary,0,1
